id,name,slug,vehicle_type_id
1,Alfa Romeo,alfa-romeo,1
2,Aston Martin,aston-martin,1
3,Audi,audi,1
4,BMW,bmw,1
5,Bugatti,bugatti,1
6,Buick,buick,1
7,Chrysler,chrysler,1
8,Dodge,dodge,1
9,Ferrari,ferrari,1
10,Fisker,fisker,1
11,Ford,ford,1
12,GMC,gmc,1
13,Genesis,genesis,1
14,Honda,honda,1
15,Hummer,hummer,1
16,Hyundai,hyundai,1
17,Infiniti,infiniti,1
18,Jaguar,jaguar,1
19,Jeep,jeep,1
20,Kia,kia,1
21,Lamborghini,lamborghini,1
22,Lexus,lexus,1
23,Lincoln,lincoln,1
24,Lotus,lotus,1
25,Lucid,lucid,1
26,Maybach,maybach,1
27,Mazda,mazda,1
28,McLaren,mclaren,1
29,Mercury,mercury,1
30,Mitsubishi,mitsubishi,1
31,Nissan,nissan,1
32,Porsche,porsche,1
33,Ram,ram,1
34,Rolls-Royce,rolls-royce,1
35,Saab,saab,1
36,Scion,scion,1
37,Smart,smart,1
38,Subaru,subaru,1
39,Suzuki,suzuki,1
40,Tesla,tesla,1
41,Toyota,toyota,1
42,Volvo,volvo,1
43,Acura,acura,1
44,Mini,mini,1
45,Volkswagen,volkswagen,1
46,Chevrolet,chevrolet,1
47,Pontiac,pontiac,1
48,Fiat,fiat,1
49,Harley-Davidson,harley-davidson,1
50,Kawasaki,kawasaki,1
51,Yamaha,yamaha,1
52,Polaris,polaris,1
53,Can-Am,can-am,1
54,Ducati,ducati,1
55,Maserati,maserati,1
56,Cadillac,cadillac,1
57,Ktm,ktm,1
58,Vespa,vespa,1
59,Land Rover,land-rover,1
60,Mercedes-Benz,mercedes-benz,1
61,Bentley,bentley,1
62,BMW,bmw,2
63,Honda,honda,2
64,Suzuki,suzuki,2
65,Mini,mini,2
66,Volkswagen,volkswagen,2
67,Chevrolet,chevrolet,2
68,Fiat,fiat,2
69,Harley-Davidson,harley-davidson,2
70,Kawasaki,kawasaki,2
71,Yamaha,yamaha,2
72,Polaris,polaris,2
73,Can-Am,can-am,2
74,Ducati,ducati,2
75,Maserati,maserati,2
76,Aprilia,aprilia,2
77,Ktm,ktm,2
78,Vespa,vespa,2
