id,name,slug,make_id
1,159,159,1
2,164,164,1
3,4C,4c,1
4,Giulietta,giulietta,1
5,Mito,mito,1
6,Stelvio,stelvio,1
7,Tonale,tonale,1
8,Giulia,giulia,1
9,GTV,gtv,1
10,Spider,spider,1
11,Milano,milano,1
12,DB11,db11,2
13,DB9,db9,2
14,DBS,dbs,2
15,DBX,dbx,2
16,DBX707,dbx707,2
17,One-77,one-77,2
18,Rapide,rapide,2
19,V12 Vantage,v12-vantage,2
20,V8 Vantage,v8-vantage,2
21,Vanquish,vanquish,2
22,Vantage,vantage,2
23,Virage,virage,2
24,DB7,db7,2
25,A1,a1,3
26,A3,a3,3
27,A3 e-tron,a3-e-tron,3
28,A3 Quattro,a3-quattro,3
29,A3 Sportback e-tron,a3-sportback-e-tron,3
30,A4,a4,3
31,A4 allroad,a4-allroad,3
32,A4 Quattro,a4-quattro,3
33,A5,a5,3
34,A5 Quattro,a5-quattro,3
35,A5 Sportback,a5-sportback,3
36,A6 allroad,a6-allroad,3
37,A6 Quattro,a6-quattro,3
38,A7,a7,3
39,A7 Quattro,a7-quattro,3
40,A7 Sportback,a7-sportback,3
41,A8 Quattro,a8-quattro,3
42,allroad,allroad,3
43,e-tron GT,e-tron-gt,3
44,e-tron,e-tron,3
45,e-tron S,e-tron-s,3
46,e-tron S Sportback,e-tron-s-sportback,3
47,e-tron Sportback,e-tron-sportback,3
48,Q2,q2,3
49,Q2 Quattro,q2-quattro,3
50,Q3,q3,3
51,Q3 Quattro,q3-quattro,3
52,Q4 e-tron,q4-e-tron,3
53,Q4 e-tron Sportback,q4-e-tron-sportback,3
54,Q5 PHEV,q5-phev,3
55,Q5 Sportback,q5-sportback,3
56,Q7,q7,3
57,Q8,q8,3
58,R8,r8,3
59,RS e-tron GT,rs-e-tron-gt,3
60,RS Q3,rs-q3,3
61,RS Q8,rs-q8,3
62,RS3,rs3,3
63,RS5,rs5,3
64,RS5 Sportback,rs5-sportback,3
65,RS6,rs6,3
66,RS6 Avant,rs6-avant,3
67,RS7,rs7,3
68,RS7 Sportback,rs7-sportback,3
69,S3,s3,3
70,S4,s4,3
71,S5,s5,3
72,S5 Sportback,s5-sportback,3
73,S6,s6,3
74,A8,a8,3
75,Q5,q5,3
76,A6,a6,3
77,S7,s7,3
78,S7 Sportback,s7-sportback,3
79,S8,s8,3
80,SQ5,sq5,3
81,SQ5 Sportback,sq5-sportback,3
82,SQ7,sq7,3
83,SQ8,sq8,3
84,TT,tt,3
85,TT Quattro,tt-quattro,3
86,TT RS,tt-rs,3
87,TT RS Quattro,tt-rs-quattro,3
88,TTS,tts,3
89,TTS Quattro,tts-quattro,3
90,Q6 e-tron,q6-e-tron,3
91,RS4,rs4,3
92,1 Series,1-series,4
93,2 Series,2-series,4
94,7 Series,7-series,4
95,6 Series,6-series,4
96,8 Series,8-series,4
97,ActiveHybrid 3,activehybrid-3,4
98,ActiveHybrid 5,activehybrid-5,4
99,ActiveHybrid 7,activehybrid-7,4
100,Alpina B6 Gran Coupe,alpina-b6-gran-coupe,4
101,Alpina B6 xDrive Gran Coupe,alpina-b6-xdrive-gran-coupe,4
102,Alpina B7,alpina-b7,4
103,Alpina B7 xDrive,alpina-b7-xdrive,4
104,Alpina B7L,alpina-b7l,4
105,Alpina B7L xDrive,alpina-b7l-xdrive,4
106,Alpina B8 Gran Coupe,alpina-b8-gran-coupe,4
107,Alpina XB7,alpina-xb7,4
108,i3,i3,4
109,i3s,i3s,4
110,i4,i4,4
111,i7,i7,4
112,i8,i8,4
113,iX3,ix3,4
114,M135i,m135i,4
115,M140i,m140i,4
116,M2,m2,4
117,M235i,m235i,4
118,M235i xDrive,m235i-xdrive,4
119,M235i xDrive Gran Coupe,m235i-xdrive-gran-coupe,4
120,M240i xDrive,m240i-xdrive,4
121,M3,m3,4
122,M340i,m340i,4
123,M340i xDrive,m340i-xdrive,4
124,M4,m4,4
125,M440i,m440i,4
126,M440i Gran Coupe,m440i-gran-coupe,4
127,M440i xDrive,m440i-xdrive,4
128,M440i xDrive Gran Coupe,m440i-xdrive-gran-coupe,4
129,M5,m5,4
130,M6,m6,4
131,M6 Gran Coupe,m6-gran-coupe,4
132,M760Li xDrive,m760li-xdrive,4
133,M8,m8,4
134,M8 Gran Coupe,m8-gran-coupe,4
135,X1,x1,4
136,X2,x2,4
137,X7,x7,4
138,Z4,z4,4
139,M850i xDrive Gran Coupe,m850i-xdrive-gran-coupe,4
140,M550i xDrive,m550i-xdrive,4
141,X4,x4,4
142,M240i,m240i,4
143,X3,x3,4
144,Z3,z3,4
145,3 Series,3-series,4
146,4 Series,4-series,4
147,i5,i5,4
148,I Series,i-series,4
149,X6,x6,4
150,X5,x5,4
151,M,m,4
152,M760i xDrive,m760i-xdrive,4
153,M850i xDrive,m850i-xdrive,4
154,M7,m7,4
155,5 Series,5-series,4
156,XM,xm,4
157,iX,ix,4
158,Chiron,chiron,5
159,Divo,divo,5
160,Veyron 16.4,veyron-16-4,5
161,Allure,allure,6
162,Cascada,cascada,6
163,Enclave,enclave,6
164,Enclave Avenir,enclave-avenir,6
165,Encore,encore,6
166,Encore GX,encore-gx,6
167,Envision,envision,6
168,LaCrosse,lacrosse,6
169,Lucerne,lucerne,6
170,Regal,regal,6
171,Regal Sportback,regal-sportback,6
172,Regal TourX,regal-tourx,6
173,Verano,verano,6
174,Rendezvous,rendezvous,6
175,Skylark,skylark,6
176,Park Avenue,park-avenue,6
177,Riviera,riviera,6
178,Electra,electra,6
179,Century,century,6
180,Rainier,rainier,6
181,Envista,envista,6
182,Terraza,terraza,6
183,Roadmaster,roadmaster,6
184,Reatta,reatta,6
185,LeSabre,lesabre,6
186,200,200,7
187,300,300,7
188,Cirrus,cirrus,7
189,Grand Caravan,grand-caravan,7
190,Pacifica,pacifica,7
191,PT Cruiser,pt-cruiser,7
192,Sebring,sebring,7
193,Voyager,voyager,7
194,Aspen,aspen,7
195,Concorde,concorde,7
196,300M,300m,7
197,Fifth Avenue,fifth-avenue,7
198,Crossfire,crossfire,7
199,LeBaron,lebaron,7
200,LHS,lhs,7
201,New Yorker,new-yorker,7
202,Town & Country,town-country,7
203,Intrepid,intrepid,7
204,600,600,8
205,Atos,atos,8
206,Attitude,attitude,8
207,Avenger,avenger,8
208,Caliber,caliber,8
209,Challenger,challenger,8
210,Charger,charger,8
211,Dakota,dakota,8
212,Dart,dart,8
213,Durango,durango,8
214,H100,h100,8
215,H100 Van,h100-van,8
216,Hornet,hornet,8
217,i10,i10,8
218,Journey,journey,8
219,Nitro,nitro,8
220,Ram 4000,ram-4000,8
221,Ram 4500,ram-4500,8
222,Ram 5500,ram-5500,8
223,Viper,viper,8
224,Vision,vision,8
225,Neon,neon,8
226,Ram 2500,ram-2500,8
227,Ram 3500,ram-3500,8
228,Stratus,stratus,8
229,Ram Wagon,ram-wagon,8
230,W-Series,w-series,8
231,D-Series,d-series,8
232,Grand Caravan,grand-caravan,8
233,Caravan,caravan,8
234,Magnum,magnum,8
235,Ram Van,ram-van,8
236,Intrepid,intrepid,8
237,B Series,b-series,8
238,Dynasty,dynasty,8
239,Ramcharger,ramcharger,8
240,Spirit,spirit,8
241,Aries,aries,8
242,Shadow,shadow,8
243,Stealth,stealth,8
